CE appliance,dish washer,electric furnace,electric space heater,fridge,microwave,washer dryer,waste disposal unit,main
42.5,0.0,290.0,1680.0,0.0,4.0,0.0,0.0,6077.21972656
50.0,0.0,315.0,1680.0,0.0,5.0,0.0,0.0,6073.22998047
42.5,0.0,310.0,1675.0,0.0,4.0,0.0,0.0,6065.02001953
47.5,0.0,308.0,1679.0,0.0,3.0,0.0,0.0,6082.97998047
45.0,0.0,307.0,1674.0,0.0,3.0,0.0,0.0,6061.79003906
50.0,0.0,305.0,1677.0,0.0,3.0,0.0,0.0,6085.37011719
45.0,0.0,332.0,1673.0,0.0,3.0,0.0,0.0,6067.0
45.0,0.0,312.0,1675.0,0.0,3.0,0.0,0.0,6052.12988281
45.0,0.0,300.0,1675.0,0.0,3.0,0.0,0.0,6046.81005859
45.0,0.0,303.0,1675.0,0.0,3.0,0.0,0.0,6067.29003906
45.0,0.0,304.0,1675.0,0.0,3.0,0.0,0.0,6064.8203125
42.5,0.0,305.0,1677.0,0.0,3.0,0.0,0.0,6060.04980469
45.0,0.0,308.0,1680.0,0.0,3.0,0.0,0.0,6064.1796875
45.0,0.0,308.0,1678.0,0.0,3.0,0.0,0.0,6056.33984375
45.0,0.0,294.0,1678.0,0.0,3.0,0.0,0.0,6072.39013672
45.0,0.0,345.0,1684.0,0.0,3.0,0.0,0.0,6058.29980469
45.0,0.0,349.0,1676.0,0.0,4.0,2.5,0.0,6060.31005859
45.0,0.0,349.0,1676.0,0.0,4.0,2.5,0.0,6046.87011719
42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
45.0,0.0,324.0,1677.0,0.0,4.0,0.0,0.0,6063.64013672
47.5,0.0,350.0,1679.0,0.0,3.0,2.5,0.0,6076.70996094
45.0,0.0,311.0,1677.0,0.0,3.0,0.0,0.0,6058.62988281
45.0,0.0,312.0,1673.0,0.0,3.0,2.5,0.0,6060.12011719
45.0,0.0,309.0,1673.0,0.0,3.0,2.5,0.0,6069.11035156
47.5,0.0,311.0,1676.0,0.0,4.0,0.0,0.0,6056.54003906
45.0,0.0,349.0,1673.0,0.0,3.0,0.0,0.0,6068.95996094
45.0,0.0,350.0,1677.0,0.0,3.0,0.0,0.0,6062.0
45.0,0.0,351.0,1677.0,0.0,3.0,2.5,0.0,6077.14013672
45.0,0.0,348.0,1677.0,0.0,3.0,2.5,0.0,6082.25976562
45.0,0.0,306.0,1678.0,0.0,3.0,0.0,0.0,6068.03027344
45.0,0.0,300.0,1678.0,0.0,4.0,0.0,0.0,6075.16015625
45.0,0.0,336.0,1682.0,0.0,4.0,2.5,0.0,6070.91992188
45.0,0.0,336.0,1682.0,0.0,4.0,2.5,0.0,6070.91992188
45.0,0.0,328.0,1682.0,0.0,4.0,2.5,0.0,6075.54980469
45.0,0.0,321.0,1675.0,0.0,4.0,2.5,0.0,6058.85009766
45.0,0.0,305.0,1680.0,0.0,4.0,2.5,0.0,6083.46972656
45.0,0.0,310.0,1676.0,0.0,5.0,0.0,0.0,6048.91015625
45.0,0.0,304.0,1670.0,0.0,4.0,2.5,1.0,6060.35986328
45.0,0.0,299.0,1668.0,0.0,4.0,0.0,0.0,6076.81005859
45.0,0.0,309.0,1674.0,0.0,4.0,0.0,0.0,6065.46972656
45.0,0.0,310.0,1671.0,0.0,4.0,0.0,0.0,6064.04980469
45.0,0.0,313.0,1671.0,0.0,4.0,0.0,0.0,6059.52001953
42.5,0.0,316.0,1673.0,0.0,4.0,0.0,0.0,6059.25
45.0,0.0,306.0,1667.0,0.0,4.0,2.5,0.0,6040.83984375
45.0,0.0,303.0,1670.0,0.0,3.0,2.5,0.0,6055.72998047
45.0,0.0,308.0,1675.0,0.0,3.0,0.0,0.0,6063.73046875
45.0,0.0,312.0,1670.0,0.0,3.0,0.0,0.0,6078.03027344
45.0,0.0,310.0,1674.0,0.0,4.0,0.0,0.0,6062.0
42.5,0.0,299.0,1674.0,0.0,4.0,0.0,0.0,6062.31005859
45.0,0.0,302.0,1674.0,0.0,4.0,0.0,0.0,6059.27001953
45.0,0.0,302.0,1674.0,0.0,4.0,0.0,0.0,6059.27001953
45.0,0.0,324.0,1674.0,0.0,4.0,0.0,0.0,6055.46972656
45.0,0.0,310.0,1673.0,0.0,4.0,0.0,0.0,6051.28027344
45.0,0.0,313.0,1672.0,0.0,4.0,0.0,0.0,6061.61035156
45.0,0.0,312.0,1677.0,0.0,4.0,0.0,0.0,6070.28027344
47.5,0.0,317.0,1675.0,0.0,4.0,0.0,0.0,6056.16015625
45.0,0.0,334.0,1678.0,0.0,4.0,0.0,0.0,6062.77001953
45.0,0.0,328.0,1681.0,0.0,4.0,0.0,0.0,6058.0
42.5,0.0,335.0,1682.0,0.0,3.0,0.0,0.0,6070.66015625
45.0,0.0,340.0,1682.0,0.0,3.0,0.0,0.0,6068.83007812
42.5,0.0,313.0,1684.0,0.0,3.0,0.0,0.0,6099.46972656
45.0,0.0,316.0,1684.0,0.0,4.0,0.0,0.0,6095.24023438
45.0,0.0,314.0,1680.0,0.0,4.0,0.0,0.0,6091.53027344
45.0,0.0,317.0,1678.0,0.0,4.0,0.0,0.0,6093.76953125
45.0,0.0,350.0,1679.0,0.0,3.0,0.0,0.0,6098.9296875
45.0,0.0,345.0,1679.0,0.0,4.0,0.0,0.0,6097.10009766
45.0,0.0,314.0,1678.0,0.0,4.0,0.0,0.0,6089.87011719
45.0,0.0,314.0,1678.0,0.0,4.0,0.0,0.0,6089.87011719
45.0,0.0,316.0,1677.0,0.0,4.0,0.0,0.0,6083.12988281
47.5,0.0,341.0,1677.0,0.0,4.0,0.0,0.0,6075.06005859
47.5,0.0,313.0,1682.0,0.0,4.0,0.0,0.0,6085.70019531
45.0,0.0,308.0,1673.0,0.0,4.0,0.0,0.0,6071.19042969
45.0,0.0,310.0,1675.0,0.0,4.0,0.0,0.0,6074.25
45.0,0.0,301.0,1673.0,0.0,4.0,0.0,0.0,6080.56005859
45.0,0.0,355.0,1673.0,0.0,3.0,0.0,0.0,6079.31005859
45.0,0.0,350.0,1670.0,0.0,3.0,2.5,0.0,6087.0
45.0,0.0,344.0,1672.0,0.0,3.0,2.5,0.0,6078.29003906
45.0,0.0,311.0,1672.0,0.0,3.0,2.5,0.0,6072.4296875
45.0,0.0,310.0,1665.0,0.0,4.0,0.0,0.0,6072.81005859
42.5,0.0,310.0,1674.0,0.0,3.0,0.0,0.0,6080.52978516
45.0,0.0,312.0,1673.0,0.0,3.0,0.0,0.0,6082.37988281
45.0,0.0,328.0,1676.0,0.0,3.0,0.0,0.0,6072.77001953
50.0,0.0,302.0,1677.0,0.0,3.0,2.5,0.0,6089.75976562
45.0,0.0,306.0,1669.0,0.0,4.0,0.0,0.0,6089.54980469
45.0,0.0,306.0,1669.0,0.0,4.0,0.0,0.0,6089.54980469
45.0,0.0,306.0,1669.0,0.0,4.0,0.0,0.0,6089.54980469
45.0,0.0,309.0,1675.0,0.0,4.0,0.0,0.0,6095.08984375
45.0,0.0,308.0,1675.0,0.0,4.0,0.0,0.0,6109.62988281
45.0,0.0,315.0,1672.0,0.0,4.0,0.0,0.0,6103.85986328
42.5,0.0,321.0,1684.0,0.0,4.0,0.0,0.0,6122.89990234
47.5,0.0,312.0,1679.0,0.0,4.0,2.5,0.0,6101.75
45.0,0.0,314.0,1683.0,0.0,4.0,0.0,0.0,6117.97998047
45.0,0.0,308.0,1681.0,0.0,4.0,0.0,0.0,6125.16015625
45.0,0.0,314.0,1680.0,0.0,3.0,0.0,0.0,6106.4296875
45.0,0.0,314.0,1680.0,0.0,4.0,0.0,0.0,6110.87011719
50.0,0.0,305.0,1685.0,0.0,3.0,2.5,0.0,6095.87011719
45.0,0.0,303.0,1682.0,0.0,4.0,0.0,0.0,6097.46972656
45.0,0.0,312.0,1686.0,0.0,4.0,0.0,1.0,6103.91015625
45.0,0.0,311.0,1683.0,0.0,3.0,0.0,0.0,6105.24023438
45.0,0.0,331.0,1687.0,0.0,3.0,0.0,0.0,6118.37988281
42.5,0.0,314.0,1683.0,0.0,3.0,2.5,0.0,6115.1796875
45.0,0.0,312.0,1682.0,0.0,3.0,0.0,0.0,6112.49023438
45.0,0.0,312.0,1682.0,0.0,3.0,0.0,0.0,6112.49023438
45.0,0.0,312.0,1682.0,0.0,3.0,0.0,0.0,6112.49023438
45.0,0.0,316.0,1686.0,0.0,3.0,0.0,0.0,6098.89990234
45.0,0.0,306.0,1687.0,0.0,4.0,0.0,0.0,6108.99023438
45.0,0.0,317.0,1680.0,0.0,4.0,0.0,0.0,6101.18994141
45.0,0.0,313.0,1680.0,0.0,3.0,0.0,0.0,6094.1796875
50.0,0.0,396.0,1681.0,0.0,4.0,0.0,0.0,6239.10009766
47.5,0.0,398.0,1678.0,0.0,3.0,2.5,0.0,6222.36035156
45.0,0.0,393.0,1675.0,0.0,4.0,2.5,0.0,6229.12988281
45.0,0.0,383.0,1677.0,0.0,3.0,0.0,0.0,6224.87011719
50.0,0.0,302.0,1679.0,0.0,3.0,0.0,0.0,6183.22998047
45.0,0.0,313.0,1681.0,0.0,4.0,0.0,1.0,6108.25
45.0,0.0,309.0,1678.0,0.0,4.0,0.0,0.0,6108.53027344
45.0,0.0,309.0,1678.0,0.0,3.0,0.0,0.0,6106.68994141
45.0,0.0,308.0,1679.0,0.0,4.0,0.0,0.0,6101.83984375
50.0,0.0,317.0,1680.0,0.0,3.0,0.0,0.0,6104.62988281
45.0,0.0,300.0,1679.0,0.0,3.0,0.0,0.0,6104.41015625
50.0,0.0,321.0,1683.0,0.0,3.0,0.0,0.0,6099.97998047
50.0,0.0,321.0,1683.0,0.0,3.0,0.0,0.0,6099.97998047
45.0,0.0,320.0,1681.0,0.0,3.0,0.0,0.0,6096.8203125
45.0,0.0,318.0,1676.0,0.0,3.0,0.0,0.0,6099.65039062
45.0,0.0,351.0,1680.0,0.0,3.0,0.0,0.0,6101.97998047
45.0,0.0,336.0,1680.0,0.0,3.0,0.0,0.0,6103.06005859
45.0,0.0,340.0,1680.0,0.0,4.0,0.0,0.0,6110.4296875
45.0,0.0,310.0,1683.0,0.0,3.0,0.0,0.0,6100.1796875
45.0,0.0,311.0,1682.0,0.0,4.0,0.0,0.0,6096.16992188
45.0,0.0,318.0,1681.0,0.0,4.0,0.0,0.0,6104.37011719
45.0,0.0,316.0,1684.0,0.0,4.0,0.0,0.0,6110.0703125
50.0,0.0,320.0,1680.0,0.0,4.0,0.0,0.0,6119.97021484
42.5,0.0,329.0,1675.0,0.0,4.0,0.0,0.0,6095.35986328
45.0,0.0,328.0,1680.0,0.0,4.0,0.0,0.0,6098.5
42.5,0.0,319.0,1682.0,0.0,4.0,0.0,0.0,6093.50976562
42.5,0.0,350.0,1682.0,0.0,3.0,0.0,0.0,6098.99023438
45.0,0.0,346.0,1679.0,0.0,5.0,2.5,0.0,6091.25
